Designator,Mid X,Mid Y,Rotation,Layer
C1,149.0375,-96.85,270.0,top
C10,144.2375,-99.55,0.0,top
C11,130.725,-102.45,180.0,top
C12,142.6375,-104.45,0.0,top
C13,143.67,-101.55,0.0,top
C14,143.672464,-100.55,0.0,top
C15,130.0375,-101.4125,180.0,top
C16,136.2,-95.45,90.0,top
C17,135.3375,-106.25,180.0,top
C18,140.85,-96.35,0.0,top
C19,140.305,-106.25,0.0,top
C2,169.2375,-99.6875,90.0,top
C20,121.2375,-82.0125,90.0,top
C21,119.7375,-82.6125,90.0,top
C22,152.2375,-84.3125,90.0,top
C3,127.8375,-97.7175,270.0,top
C4,127.8375,-101.75,90.0,top
C5,161.0375,-99.55,90.0,top
C6,162.7375,-99.55,90.0,top
C7,177.5375,-94.75,270.0,top
C8,173.75,-85.6,0.0,top
C9,142.6375,-103.45,0.0,top
D1,174.5375,-96.55,90.0,top
J4,160.3375,-87.35,180.0,top
J6,181.5875,-102.15,90.0,top
Q1,170.4375,-94.85,270.0,top
Q2,126.0375,-91.3125,270.0,top
R1,179.3375,-94.7375,90.0,top
R10,184.7275,-94.69,90.0,top
R11,182.9325,-94.69,90.0,top
R12,123.0375,-86.6125,90.0,top
R2,167.4375,-95.85,90.0,top
R3,152.2375,-91.8125,90.0,top
R4,130.1375,-100.05,0.0,top
R5,146.5375,-101.65,180.0,top
R6,146.5375,-103.15,180.0,top
R7,152.2375,-88.0125,90.0,top
R8,181.1375,-94.7125,270.0,top
R9,126.0375,-94.2125,0.0,top
SW1,156.2375,-97.45,0.0,top
SW2,146.1375,-82.75,0.0,top
U1,147.1375,-90.95,180.0,top
U2,166.0375,-99.55,90.0,top
U3,136.9375,-101.25,270.0,top
U4,174.5,-88.8,180.0,top
U5,126.6375,-87.1125,180.0,top
Y1,124.2375,-99.45,0.0,top
