Designator,Mid X,Mid Y,Rotation,Layer
C1,135.625,-95.65,0.0,top
C10,131.9375,-96.25,0.0,top
C11,118.425,-99.15,180.0,top
C12,130.3375,-101.25,0.0,top
C13,131.37,-98.25,0.0,top
C14,131.372464,-97.25,0.0,top
C15,117.7375,-98.1125,180.0,top
C16,122.5,-92.0,180.0,top
C17,122.5,-102.95,180.0,top
C18,128.55,-93.05,0.0,top
C19,128.35,-102.9,0.0,top
C2,144.95,-89.9,0.0,top
C20,108.475,-82.125,0.0,top
C22,114.63,-80.95,270.0,top
C23,146.375,-93.65,0.0,top
C3,115.35,-95.47,270.0,top
C4,115.34,-97.87,90.0,top
C5,144.90625,-81.9625,0.0,top
C6,144.90625,-83.6625,0.0,top
C7,148.69375,-82.325,0.0,top
C8,152.24375,-85.075,270.0,top
C9,130.3375,-100.25,0.0,top
D1,151.175,-96.125,270.0,top
D2,161.16875,-91.25,270.0,top
J4,123.475,-84.9,180.0,top
J6,158.5,-98.825,90.0,top
J7,105.425,-88.375,270.0,top
Q1,151.09375,-88.725,180.0,top
Q2,114.11,-85.02,270.0,top
R1,153.925,-91.4375,90.0,top
R10,157.21875,-91.45,90.0,top
R11,155.56875,-91.45,90.0,top
R12,111.425,-84.875,90.0,top
R13,114.13,-89.59,0.0,top
R14,109.58,-85.64,90.0,top
R15,112.49,-80.9,90.0,top
R16,141.2,-95.975,270.0,top
R17,159.16875,-91.45,90.0,top
R18,142.825,-95.975,270.0,top
R19,144.45,-95.975,270.0,top
R2,144.95,-91.85,180.0,top
R20,148.45,-92.625,270.0,top
R3,137.925,-95.975,90.0,top
R4,117.62,-96.77,0.0,top
R5,134.2,-99.9,180.0,top
R6,134.2,-98.4,180.0,top
R7,139.55,-95.975,90.0,top
R8,147.94375,-88.775,270.0,top
R9,114.09,-87.89,180.0,top
SW1,139.94,-80.91,90.0,top
SW2,139.95,-88.95,270.0,top
U1,134.1,-90.05,180.0,top
U2,144.95,-86.6875,0.0,top
U3,124.6375,-97.95,270.0,top
U4,149.09375,-85.075,90.0,top
U5,147.225,-96.3,0.0,top
Y1,111.95,-95.675,0.0,top
